name,published_at,abstract,publisher,company_publisher,creator,category,web_publisher,link_publisher
UNJUK KERJA METODE KLASIFIKASI SUPPORT VECTOR MACHINE (SVM) DENGAN LEARNING VECTOR QUANTIZATION (LVQ) PADA APLIKASI PENGENALAN WAJAH, 10 Mar 2015,"Face recognition techniques and classification methods have been proposed, but not many techniques that compare performance between methods. This research wants to analyze the performance of recognition. The method which are studied and compared are support vector machine and learning vector quantization. The result showed that the performance of the method, on the varied training number, LVQ method is better than SVM. In large number of classes, LVQ method is better than SVW.Keywords: classification, face recognition, LVQ, SVM",Jurnal Ilmiah Sinus,STMIK Sinar Nusantara Surakarta,"Yustina Retno Wahyu Utami, Teguh Susyanto","<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",https://p3m.sinus.ac.id/jurnal/index.php/e-jurnal_SINUS,https://garuda.kemdikbud.go.id/publisher/view/633
Software Defect Prediction Using Synthetic Minority Over-sampling Technique and Extreme Learning Machine, 20 Feb 2020,"Software testing is one of the crucial processes in software development life cycle which will influence the software quality. One of the strategies to help testing process is predicting the part or module of software which is prone to defect. Then, the testing process can be more focused to those parts. In this research a classifier model for predicting software defect was built. One of the most important problems in software defect prediction is imbalance data distribution between samples of positive class (prone to defect) and of negative class. Therefore, in this research SMOTE is implemented to handle imbalance data problem and extreme learning machine is implemented as a classification algorithm. As a comparison to SMOTE-ELM, a modification of ELM which directly copes with imbalance problem, weighted-ELM, is also observed. This research used NASA MDP dataset PC1, PC2, PC3 and PC4. The results of experiment using 10-fold cross validation show that directly classification using ELM obtain the worse result compared to SMOTE-ELM and weighted-ELM. When the value of imbalance ratio is not very small, the SMOTE-ELM is better than weighted-ELM. When the value of imbalance ratio is very small, the g-mean of weighted-ELM is higher than the g-mean of SMOTE-ELM, but the accuracy of weighted-ELM is lower than the accuracy of SMOTE-ELM. Therefore, in this software defect prediction case it can be concluded that SMOTE is effective to increase the generalization performance of classifier in minority class as long as the value of imbalance ratio is not very small.",Journal of Telematics and Informatics,IAES Indonesia Section and Partners,Khadijah Khadijah,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://section.iaesonline.com/index.php/JTI,https://garuda.kemdikbud.go.id/publisher/view/65
Peramalan Beban Listrik Jangka Pendek Menggunakan Optimally Pruned Extreme Learning Machine (OPELM) pada Sistem Kelistrikan Jawa Timur, 13 Sep 2012,"Peramalan beban listrik jangka pendek merupakan faktor yang sangat penting dalam perencanaan dan pengoperasian sistem tenaga listrik. Tujuan dari peramalan beban listrik adalah agar permintaan listrik dan penyediaan listrik dapat seimbang. Karakteristik beban di wilayah Jawa Timur sangat fluktuatif sehingga pada penelitian ini digunakan metode Optimally Pruned Extreme Learning Machine (OPELM) untuk meramalkan beban listrik. Kelebihan OPELM ada pada learning speed yang cepat dan pemilihan model yang tepat meskipun datanya mempunyai pola non linier. Keakuratan metode OPELM dapat diketahui dengan menggunakan metode pembanding yaitu metode ELM. Kriteria keakuratan yang digunakan adalah MAPE. Hasil dari perbandingan kriteria keakuratan menunjukkan bahwa hasil peramalan OPELM lebih baik dari ELM. Error rata-rata hasil pengujian peramalan paling minimum menunjukkan MAPE sebesar 1,3579% terjadi pada peramalan hari Jumat, sementara pada hari yang sama dengan metode ELM menghasilkan MAPE sebesar 2,2179%.",Jurnal Teknik ITS,Institut Teknologi Sepuluh Nopember Surabaya,Januar Adi Perdana,"<a class=""ui tag label grey mini"" href=""/area/index/115"">Engineering</a>",http://ejurnal.its.ac.id/index.php/teknik,https://garuda.kemdikbud.go.id/publisher/view/102
Rain Prediction Using Rule-Based Machine Learning Approach, 01 May 2020,"Rain prediction is an important topic that continues to gain attention throughout the world. The rain has a big impact on various aspects of human life both socially and economically, for example in agriculture, health, transportation, etc. Rain also affects natural disasters such as landslides and floods. The various impact of rain on human life prompts us to build a model to understand and predict rain to provide early warning in various fields/needs such as agriculture, transportation, etc. This research aims to build a rain prediction model using a rule-based Machine Learning approach by utilizing historical meteorological data. The experiment using the J48 method resulted in up to 77.8% accuracy in the training model and gave accurate prediction results of 86% when tested against actual weather data in 2020.","Advance Sustainable Science, Engineering and Technology (ASSET)",Universitas PGRI Semarang,Muchamad Taufiq Anwar,"<a class=""ui tag label grey mini"" href=""/area/index/40"">Chemical Engineering, Chemistry &amp; Bioengineering</a>",http://journal.upgris.ac.id/index.php/asset,https://garuda.kemdikbud.go.id/publisher/view/421
Prediction of 4f7-4f65d1 transition energy of Eu2+ in oxides based on first-principles calculations and machine learning, 09 Apr 2020,"In order to establish a method to predict the 4f7-4f65d1 transition energy of Eu2+ in oxides, linear regression models were created based on first-principles calculations and machine learning. The model clusters consisting of the central Eu2+ and O2- ions closer than the nearest cation were constructed and the 4f7-4f65d1 absorption energy of Eu2+ in these clusters were calculated by first-principles many-electron calculation using the relativistic discrete variational multi-electron (DVME) method. However, the 4f7-4f65d1 absorption energies of Eu2+ in oxides calculated by relatively simple first-principles calculations tend to be overestimated by ca. 1.6 eV. In order to improve the accuracy of the prediction, we performed machine learning considering the calculated absorption energy as well as the other electronic and structural parameters as the attributes. As a result, the regression formula to predict the 4f7-4f65d1 absorption energy of Eu2+ in oxides has been created by machine learning. The 4f7-4f65d1 absorption energy predicted by this model are in good agreement with the experimental ones. Therefore, accuracy of the prediction was significantly improved compared to the simple first-principles calculations. In a similar way, a predictive model of the 4f65d1-4f7 emission energy of Eu2+ in oxides has been also created","Advance Sustainable Science, Engineering and Technology (ASSET)",Universitas PGRI Semarang,Hiroyuki Hori,"<a class=""ui tag label grey mini"" href=""/area/index/40"">Chemical Engineering, Chemistry &amp; Bioengineering</a>",http://journal.upgris.ac.id/index.php/asset,https://garuda.kemdikbud.go.id/publisher/view/421
Machine Learning-Based Distributed Denial of Service Attack Detection on Intrusion Detection System Regarding to Feature Selection, 19 Feb 2020,"Distributed Service Denial (DDoS) is a type of network attack, which each year increases in volume and intensity.  DDoS attacks also form part of the major types of cyber security threats so far. Early detection plays a key role in avoiding the catastrophic effects on server infrastructure from DDoS attacks. Detection techniques in the traditional Intrusion Detection System (IDS) are far from perfect compared to a number of modern techniques and tools used by attackers, because the traditional IDS only uses signature-based detection or anomaly-based detection models and causes a lot of false positive flags, since the flow of computer network data packets has complex properties in terms of both size and source. Based on the  deficiency in the ordinary IDS, this study aims to detect DDoS attacks by using machine learning techniques to enhance IDS policy development.  According to the experiment the selection of features plays an important role in the precision of the detection results and in the performance of machine learning in classification problems. The combination of seven key selected dataset features used as an input neural network classifier in this study provides the highest accuracy value at 97.76%.",International Journal of Artificial Intelligence Research,STMIK Dharma Wacana,Arif Wirawan Muhammad,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://ijair.id/index.php/ijair,https://garuda.kemdikbud.go.id/publisher/view/551
The importance of data classification using machine learning methods in microarray data, 01 Apr 2021,"The detection of genetic mutations has attracted global attention. several methods have proposed to detect diseases such as cancers and tumours. One of them is microarrays, which is a type of representation for gene expression that is helpful in diagnosis. To unleash the full potential of microarrays, machine-learning algorithms and gene selection methods can be implemented to facilitate processing on microarrays and to overcome other potential challenges. One of these challenges involves high dimensional data that are redundant, irrelevant, and noisy. To alleviate this problem, this representation should be simplified. For example, the feature selection process can be implemented by reducing the number of features adopted in clustering and classification. A subset of genes can be selected from a pool of gene expression data recorded on DNA micro-arrays. This paper reviews existing classification techniques and gene selection methods. The effectiveness of emerging techniques, such as the swarm intelligence technique in feature selection and classification in microarrays, are reported as well. These emerging techniques can be used in detecting cancer. The swarm intelligence technique can be combined with other statistical methods for attaining better results.",Perfecting a Video Game with Game Metrics,Universitas Ahmad Dahlan,Aws Naser Jaber,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://journal.uad.ac.id/index.php/TELKOMNIKA,https://garuda.kemdikbud.go.id/publisher/view/8
An Adaptive Internal Model for Load Frequency Control Using Extreme Learning Machine, 01 Dec 2018,"As an important part of a power system, a load frequency control has to be prepared with a better controller to ensure internal frequency stability. In this paper, an Internal Model Control (IMC) scheme for a Load Frequency Control (LFC) with an adaptive internal model is proposed. The effectiveness of the IMC control has been tested in a three area power system. Results of the simulation show that the proposed IMC with Extreme Learning Machine (ELM) based adaptive model can accurately cover the power system dynamics. Furthermore, the proposed controller can effectively reduce the frequency and mechanical power deviation under disturbances of the power system.",Perfecting a Video Game with Game Metrics,Universitas Ahmad Dahlan,Adelhard Beni Rehiara,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://journal.uad.ac.id/index.php/TELKOMNIKA,https://garuda.kemdikbud.go.id/publisher/view/8
Review of IDS Develepment Methods in Machine Learning, 01 Oct 2016,"Due to the rapid advancement of knowledge and technologies, the problem of decision making is getting more sophisticated to address, therefore the inventing of new methods to solve it is very important. One of the promising directions in machine learning and data mining is classifier combination. The popularity of this approach is confirmed by the still growing number of publications. This review paper focuses mainly on classifier combination known also as combined classifier, multiple classifier systems, or classifier ensemble. Eventually, recommendations and suggestions have also included.",International Journal of Electrical and Computer Engineering,Institute of Advanced Engineering and Science,Abdulla Aburomman,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://ijece.iaescore.com/index.php/IJECE,https://garuda.kemdikbud.go.id/publisher/view/6
Evaluasi Human Machine Interface Menggunakan Kriteria Usability Pada Sistem E-learning Perguruan Tinggi, 16 Jul 2014,"Integration HMI with usability in user interface design process is a standart of the success of a website. The design process is done through the approach to the end user to find a problem solution of human machine interface phenomena. It can also generate the maximum level of satisfaction and success of implementation of the website. The purpose of this research is to evaluate HMI using usabilitycriteria to know the application of HMI concept in e-learning and provide proposals for improvements to the HMI. Questionnaire Data were processed using a descriptive analysis and methods of CFA to know the variables that are weakest and which indicators have an important role in shaping the research variables. Evaluation results indicate the application concept of HMI in the e-learning had been done but not the maximum. Data analysis of the results obtained that the main problem lies in the accessibility criteria in the meantime indicator latent variables from forming error prevention, learnability, memorability, visibility and accessibility of influential factor loading values indicated significantly (unidimensionalitas) in shaping the criteria of latent variables in first-order CFA. The end result of this research is the proposal of improvement as a HMI solution in the form of principles and technicsuser interface design. This solution is focused on the development of standards for the quality of the interface in e-learning systems and not on the digital learning content presented on the e-learning system. Keywords: Descriptive analisis; Human machine interface; Usability; Confirmatory factor analisys; Elearning",JURNAL SISTEM INFORMASI BISNIS,Universitas Diponegoro,"Qashlim, Akhmad","<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",https://ejournal.undip.ac.id/index.php/jsinbis,https://garuda.kemdikbud.go.id/publisher/view/7
"Cloud computing survey on services, enhancements and challenges in the era of machine learning and data science", 01 Aug 2020,"Cloud computing has sweeping impact on the human productivity. Today it’s used for Computing, Storage, Predictions and Intelligent Decision Making, among others. Intelligent Decision Making using Machine Learning has pushed for the Cloud Services to be even more fast, robust and accurate. Security remains one of the major concerns which affect the cloud computing growth however there exist various research challenges in cloud computing adoption such as lack of well managed service level agreement (SLA), frequent disconnections, resource scarcity, interoperability, privacy, and reliability. Tremendous amount of work still needs to be done to explore the security challenges arising due to widespread usage of cloud deployment using Containers. We also discuss Impact of Cloud Computing and Cloud Standards. Hence in this research paper, a detailed survey of cloud computing, concepts, architectural principles, key services, and implementation, design and deployment challenges of cloud computing are discussed in detail and important future research directions in the era of Machine Learning and Data Science have been identified.",International Journal of Informatics and Communication Technology (IJ-ICT),Institute of Advanced Engineering and Science,Wajid Hassan,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",http://ijict.iaescore.com/index.php/IJICT,https://garuda.kemdikbud.go.id/publisher/view/6
Intelligent multiperiod wind power forecast model using statistical and machine learning model, 01 Jun 2022,"With the rapidly increasing integration of wind energy into the modern energy grid system, wind energy prediction (WPP) is playing an important role in the planning and operation of an electrical distribution system. However, the time series data of wind energy always has nonlinear and non-stationary characteristics, which is still a great challenge to be accurately predicted. This paper proposes the intelligent wind power forecast model and evaluates to forecast long term, short term and medium term wind power. It uses statistical and machine learning approach for finding the best model for multiperiod forecasting. The model has been tested on Sotavento wind farm historical data, located in Galicia, Spain. The experimental results show that random forest has better accuracy than other models for long term, short term and medium term forecasting. The power prediction accuracy of the proposed model has been evaluated on RMSE, and MAE metrics. The proposed model has shown better accuracy for medium term and long term forecast. The accuracy is improved by 72.12% in case of medium term and 50.49% in case of long term.",Bulletin of Electrical Engineering and Informatics,Universitas Ahmad Dahlan,Manisha Galphade,"<a class=""ui tag label grey mini"" href=""/area/index/100"">Electrical &amp; Electronics Engineering</a>",http://beei.org/index.php/EEI,https://garuda.kemdikbud.go.id/publisher/view/8
Performance Comparison of Feature Extraction and Machine Learning Classification Algorithms for Face Recognition, 30 Nov 2021,"Face recognition is a highly active research topic in pattern recognition and computer vision, with numerous practical applications. Face recognition can provide the most natural interaction experience similar to the way humans can recognize others. This paper presents a performance comparison of various machine learning approaches and feature extraction algorithms. The feature extraction algorithm used is Principal Component Analysis (PCA), Latent Dirichlet Allocation (LDA), and a combination of PCA-LDA. The method used is to take a dataset sample and then evaluate and compare machine learning algorithms to analyze accuracy in recognizing faces. We also use feature extraction techniques on facial image capture to speed up data processing. The classification algorithms measured are k-nearest neighbor, naive Bayes, support vector machine, random forest, and gradient boosting. The results showed that the random forest classification algorithm was the most accurate face recognition method. On the other hand, the PCA-LDA combined feature extraction algorithm has lower false-negative and false-positive rates than PCA and LDA. In addition, the PCA feature extraction algorithm has the fastest performance in the process of recognizing faces",The IJICS (International Journal of Informatics and Computer Science),Sekolah Tinggi Manajemen Informatika dan Komputer Budi Darma,Raden Budiarto Hadiprakoso,"<a class=""ui tag label grey mini"" href=""/area/index/60"">Computer Science &amp; IT</a>",https://ejurnal.stmik-budidarma.ac.id/index.php/ijics,https://garuda.kemdikbud.go.id/publisher/view/734
Implementasi Machine Learning dengan Decision Tree Algoritma C4.5 dalam Penerimaan Karyawan Baru pada PT. Gitareksa Dinamika Jakarta, 16 Jul 2021,"Melakukan proses penerimaan karyawan merupakan hal yang sangat penting bagi suatu perusahaan, hal ini dilakukan mengingat karyawan dipandang sebagai salah satu aset penting bagi perusahaan dan perlu dikelola serta dikembangkan untuk mendukung suatu kelangsungan hidup, kemampuan untuk bersaing, mendapatkan laba, serta pencapaian pada tujuan perusahaan, PT. Gitareksa Dinamika Jakarta biasanya melakukan beberapa persyaratan atau kriteria untuk mengetahui kemampuan dan pribadi para pelamar tersebut, data hasilnya tersebut biasanya disimpan dalam suatu arsip yang harus dibandingkan satu persatu sehingga didapatkan suatu hasil atau keputusan. Tentu hal tersebut memakan waktu yang lama dan kurang efektif dalam menggambil suatu keputusan. Dengan demikian dibutuhkan suatu perencanaan model otomatis dari sekumpulan data, dengan tujuan memberikan komputer kemampuan untuk belajar (machine learning). Maka dari itu diperlukan sebuah metode untuk menentukan perancang dalam pengambilan keputusan penerimaan karyawan baru â€œDecision Tree Algoritma C4.5â€ tujuan khusus pada penelitian ini adalah membangun suatu sistem dengan mudah yang dapat mengelola data dan dapat diakses dengan mudah oleh staff HRD dalam menentukan karyawan baru pada PT. Gitareksa Dinamika Jakarta.Â ",Jurnal Sosial dan Teknologi,Green Publisher Indonesia,"Khoeri, Imam","<a class=""ui tag label grey mini"" href=""/area/index/24"">Humanities</a>",https://sostech.greenvest.co.id/index.php/sostech,https://garuda.kemdikbud.go.id/publisher/view/2470
PREDIKSI HARGA EMAS MENGGUNAKAN FEED FORWARD NEURAL NETWORK DENGAN METODE EXTREME LEARNING MACHINE, 30 May 2019,"The prediction of gold price aims to find out the gold price in the future on the basis of historical data on gold prices in the past, so it can be used as a consideration by gold investors to investing in gold. Prediction methods that do not require assumptions, one of which is Artificial Neural Networks. In this study, using Artificial Neural Networks, Feed Forward Neural Network with Extreme Learning Machine (ELM). ELM is a non-iterative algorithm so ELM has advantages in process speed. The input weight and bias for this method are determined randomly. After that, to find the final weight using the Moore-Penrose Generalized Inverse calculation on the hidden layer output matrix. The best model selection criteria uses the Mean Absolute Percentage Error (MAPE). This study shows that the results of the training and testing process from the model 1 input neuron and 7 hidden neurons are very good, because it produces MAPE training = 0.6752% and MAPE testing = 0.8065%. Also gives a very good prediction result because it has MAPE = 0.5499% Keywords: gold price, Extreme Learning Machine, MAPE",Jurnal  Gaussian,Universitas Diponegoro,Nisa Afida Izati,"<a class=""ui tag label grey mini"" href=""/area/index/500"">Other</a>",https://ejournal3.undip.ac.id/index.php/gaussian,https://garuda.kemdikbud.go.id/publisher/view/7
